datetime,temperature,city
2023-05-14,14.4,Saint_Petersburg
2023-05-15,16.1,Saint_Petersburg
2023-05-16,16.4,Saint_Petersburg
2023-05-17,16.8,Saint_Petersburg
2023-05-18,11.0,Saint_Petersburg
2023-05-19,10.8,Saint_Petersburg
2023-05-20,12.6,Saint_Petersburg
2023-05-21,15.1,Saint_Petersburg
2023-05-22,13.9,Saint_Petersburg
2023-05-23,15.8,Saint_Petersburg
2023-05-24,17.5,Saint_Petersburg
2023-05-25,17.0,Saint_Petersburg
2023-05-26,13.2,Saint_Petersburg
2023-05-27,10.2,Saint_Petersburg
2023-05-28,12.7,Saint_Petersburg
2023-05-29,12.7,Saint_Petersburg
2023-05-30,11.4,Saint_Petersburg
2023-05-31,12.1,Saint_Petersburg
2023-06-01,10.9,Saint_Petersburg
2023-06-02,7.5,Saint_Petersburg
2023-06-03,8.2,Saint_Petersburg
2023-06-04,10.3,Saint_Petersburg
2023-06-05,12.9,Saint_Petersburg
2023-06-06,13.6,Saint_Petersburg
2023-06-07,12.8,Saint_Petersburg
2023-06-08,12.8,Saint_Petersburg
2023-06-09,11.6,Saint_Petersburg
2023-06-10,11.2,Saint_Petersburg
2023-06-11,13.2,Saint_Petersburg
2023-06-12,16.3,Saint_Petersburg
2023-06-13,18.4,Saint_Petersburg
2023-06-14,18.9,Saint_Petersburg
2023-06-15,20.9,Saint_Petersburg
2023-06-16,21.9,Saint_Petersburg
2023-06-17,21.5,Saint_Petersburg
2023-06-18,18.1,Saint_Petersburg
2023-06-19,19.1,Saint_Petersburg
2023-06-20,20.0,Saint_Petersburg
2023-06-21,20.7,Saint_Petersburg
2023-06-22,22.6,Saint_Petersburg
2023-06-23,19.2,Saint_Petersburg
2023-06-24,18.3,Saint_Petersburg
2023-06-25,17.7,Saint_Petersburg
2023-06-26,19.4,Saint_Petersburg
2023-06-27,20.2,Saint_Petersburg
2023-06-28,20.8,Saint_Petersburg
2023-06-29,21.1,Saint_Petersburg
2023-06-30,20.0,Saint_Petersburg
2023-07-01,18.7,Saint_Petersburg
2023-07-02,17.8,Saint_Petersburg
2023-07-03,16.5,Saint_Petersburg
2023-07-04,16.8,Saint_Petersburg
2023-07-05,16.7,Saint_Petersburg
2023-07-06,18.8,Saint_Petersburg
2023-07-07,17.7,Saint_Petersburg
2023-07-08,16.5,Saint_Petersburg
2023-07-09,14.8,Saint_Petersburg
2023-07-10,13.5,Saint_Petersburg
2023-07-11,14.9,Saint_Petersburg
2023-07-12,16.6,Saint_Petersburg
2023-07-13,17.3,Saint_Petersburg
2023-07-14,18.2,Saint_Petersburg
2023-07-15,18.6,Saint_Petersburg
2023-07-16,20.8,Saint_Petersburg
2023-07-17,20.0,Saint_Petersburg
2023-07-18,17.5,Saint_Petersburg
2023-07-19,17.1,Saint_Petersburg
2023-07-20,17.2,Saint_Petersburg
2023-07-21,17.0,Saint_Petersburg
2023-07-22,17.4,Saint_Petersburg
2023-07-23,16.6,Saint_Petersburg
2023-07-24,16.2,Saint_Petersburg
2023-07-25,18.0,Saint_Petersburg
2023-07-26,17.5,Saint_Petersburg
2023-07-27,18.3,Saint_Petersburg
2023-07-28,15.8,Saint_Petersburg
2023-07-29,17.0,Saint_Petersburg
2023-07-30,18.6,Saint_Petersburg
2023-07-31,19.1,Saint_Petersburg
2023-08-01,19.9,Saint_Petersburg
2023-08-02,21.4,Saint_Petersburg
2023-08-03,19.9,Saint_Petersburg
2023-08-04,20.1,Saint_Petersburg
2023-08-05,20.0,Saint_Petersburg
2023-08-06,21.7,Saint_Petersburg
2023-08-07,26.6,Saint_Petersburg
2023-08-08,22.7,Saint_Petersburg
2023-08-09,19.1,Saint_Petersburg
2023-08-10,19.6,Saint_Petersburg
2023-08-11,19.7,Saint_Petersburg
2023-08-12,19.4,Saint_Petersburg
2023-08-13,20.8,Saint_Petersburg
2023-08-14,19.9,Saint_Petersburg
2023-08-15,19.8,Saint_Petersburg
2023-08-16,21.4,Saint_Petersburg
2023-08-17,20.3,Saint_Petersburg
2023-08-18,17.8,Saint_Petersburg
2023-08-19,16.4,Saint_Petersburg
2023-08-20,16.3,Saint_Petersburg
2023-08-21,16.4,Saint_Petersburg
2023-08-22,16.1,Saint_Petersburg
2023-08-23,15.4,Saint_Petersburg
2023-08-24,14.7,Saint_Petersburg
2023-08-25,16.1,Saint_Petersburg
2023-08-26,16.0,Saint_Petersburg
2023-08-27,15.8,Saint_Petersburg
2023-08-28,16.4,Saint_Petersburg
2023-08-29,16.7,Saint_Petersburg
2023-08-30,17.2,Saint_Petersburg
2023-08-31,21.4,Saint_Petersburg
2023-09-01,19.4,Saint_Petersburg
2023-09-02,17.5,Saint_Petersburg
2023-09-03,15.1,Saint_Petersburg
2023-09-04,15.4,Saint_Petersburg
2023-09-05,16.6,Saint_Petersburg
2023-09-06,14.0,Saint_Petersburg
2023-09-07,12.8,Saint_Petersburg
2023-09-08,15.2,Saint_Petersburg
2023-09-09,13.9,Saint_Petersburg
2023-09-10,15.9,Saint_Petersburg
2023-09-11,17.7,Saint_Petersburg
2023-09-12,18.1,Saint_Petersburg
2023-09-13,18.5,Saint_Petersburg
2023-09-14,15.0,Saint_Petersburg
2023-09-15,12.2,Saint_Petersburg
2023-09-16,12.4,Saint_Petersburg
2023-09-17,12.9,Saint_Petersburg
2023-09-18,11.1,Saint_Petersburg
2023-09-19,14.0,Saint_Petersburg
2023-09-20,15.8,Saint_Petersburg
2023-09-21,17.2,Saint_Petersburg
2023-09-22,17.1,Saint_Petersburg
2023-09-23,19.0,Saint_Petersburg
2023-09-24,15.6,Saint_Petersburg
2023-09-25,13.6,Saint_Petersburg
2023-09-26,13.3,Saint_Petersburg
2023-09-27,13.7,Saint_Petersburg
2023-09-28,15.1,Saint_Petersburg
2023-09-29,15.9,Saint_Petersburg
2023-09-30,15.6,Saint_Petersburg
2023-10-01,12.3,Saint_Petersburg
2023-10-02,11.3,Saint_Petersburg
2023-10-03,11.8,Saint_Petersburg
2023-10-04,11.8,Saint_Petersburg
2023-10-05,9.8,Saint_Petersburg
2023-10-06,6.6,Saint_Petersburg
2023-10-07,5.9,Saint_Petersburg
2023-10-08,3.1,Saint_Petersburg
2023-10-09,3.4,Saint_Petersburg
2023-10-10,2.6,Saint_Petersburg
2023-10-11,6.8,Saint_Petersburg
2023-10-12,8.9,Saint_Petersburg
2023-10-13,8.6,Saint_Petersburg
2023-10-14,10.5,Saint_Petersburg
2023-10-15,8.4,Saint_Petersburg
2023-10-16,5.0,Saint_Petersburg
2023-10-17,4.2,Saint_Petersburg
2023-10-18,1.6,Saint_Petersburg
2023-10-19,1.9,Saint_Petersburg
2023-10-20,1.7,Saint_Petersburg
2023-10-21,-0.5,Saint_Petersburg
2023-10-22,0.1,Saint_Petersburg
2023-10-23,1.9,Saint_Petersburg
2023-10-24,1.3,Saint_Petersburg
2023-10-25,0.2,Saint_Petersburg
2023-10-26,-1.5,Saint_Petersburg
2023-10-27,-1.7,Saint_Petersburg
2023-10-28,-0.6,Saint_Petersburg
2023-10-29,-0.6,Saint_Petersburg
2023-10-30,-0.5,Saint_Petersburg
2023-10-31,-0.9,Saint_Petersburg
2023-11-01,6.5,Saint_Petersburg
2023-11-02,2.8,Saint_Petersburg
2023-11-03,1.0,Saint_Petersburg
2023-11-04,4.0,Saint_Petersburg
2023-11-05,5.3,Saint_Petersburg
2023-11-06,4.7,Saint_Petersburg
2023-11-07,5.3,Saint_Petersburg
2023-11-08,5.6,Saint_Petersburg
2023-11-09,5.0,Saint_Petersburg
2023-11-10,5.2,Saint_Petersburg
2023-11-11,5.3,Saint_Petersburg
2023-11-12,4.5,Saint_Petersburg
2023-11-13,1.6,Saint_Petersburg
2023-11-14,0.1,Saint_Petersburg
2023-11-15,0.5,Saint_Petersburg
2023-11-16,-2.6,Saint_Petersburg
2023-11-17,-3.6,Saint_Petersburg
2023-11-18,-5.4,Saint_Petersburg
2023-11-19,-6.2,Saint_Petersburg
2023-11-20,-5.2,Saint_Petersburg
2023-11-21,-5.5,Saint_Petersburg
2023-11-22,-5.9,Saint_Petersburg
2023-11-23,-3.6,Saint_Petersburg
2023-11-24,-4.2,Saint_Petersburg
2023-11-25,-8.8,Saint_Petersburg
2023-11-26,-9.3,Saint_Petersburg
2023-11-27,-5.2,Saint_Petersburg
2023-11-28,-1.8,Saint_Petersburg
2023-11-29,-6.2,Saint_Petersburg
2023-11-30,-5.2,Saint_Petersburg
2023-12-01,-6.4,Saint_Petersburg
2023-12-02,-9.0,Saint_Petersburg
2023-12-03,-9.5,Saint_Petersburg
2023-12-04,-7.6,Saint_Petersburg
2023-12-05,-9.5,Saint_Petersburg
2023-12-06,-12.7,Saint_Petersburg
2023-12-07,-13.0,Saint_Petersburg
2023-12-08,-13.6,Saint_Petersburg
2023-12-09,-11.9,Saint_Petersburg
2023-12-10,-11.3,Saint_Petersburg
2023-12-11,-8.7,Saint_Petersburg
2023-12-12,-4.8,Saint_Petersburg
2023-12-13,-2.1,Saint_Petersburg
2023-12-14,-4.1,Saint_Petersburg
2023-12-15,-6.1,Saint_Petersburg
2023-12-16,-4.1,Saint_Petersburg
2023-12-17,1.2,Saint_Petersburg
2023-12-18,0.7,Saint_Petersburg
2023-12-19,1.8,Saint_Petersburg
2023-12-20,-0.4,Saint_Petersburg
2023-12-21,-1.0,Saint_Petersburg
2023-12-22,0.0,Saint_Petersburg
2023-12-23,-0.2,Saint_Petersburg
2023-12-24,-3.2,Saint_Petersburg
2023-12-25,-2.8,Saint_Petersburg
2023-12-26,-3.9,Saint_Petersburg
2023-12-27,-5.8,Saint_Petersburg
2023-12-28,-4.5,Saint_Petersburg
2023-12-29,-4.0,Saint_Petersburg
2023-12-30,-5.1,Saint_Petersburg
2023-12-31,-9.4,Saint_Petersburg
2023-01-01,0.2,Nizhny_Novgorod
2023-01-02,-0.3,Nizhny_Novgorod
2023-01-03,-4.0,Nizhny_Novgorod
2023-01-04,-6.7,Nizhny_Novgorod
2023-01-05,-10.4,Nizhny_Novgorod
2023-01-06,-25.2,Nizhny_Novgorod
2023-01-07,-28.3,Nizhny_Novgorod
2023-01-08,-24.2,Nizhny_Novgorod
2023-01-09,-29.9,Nizhny_Novgorod
